URL,Category,URL_Length,Domain
http://medium.com/,phishing,18,medium.com
http://medium.com/about?autoplay=1,defacement,34,medium.com
http://medium.com/membership,phishing,28,medium.com
http://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2Fnew-story&source=--------------------------new_post_topnav------------------,benign,158,medium.com
http://medium.com/m/signin?operation=login&redirect=https%3A%2F%2Fmedium.com%2F&source=--------------------------lo_home_nav------------------,benign,142,medium.com
http://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2F&source=--------------------------lo_home_nav------------------,benign,145,medium.com
http://medium.com/about?autoplay=1,defacement,34,medium.com
https://help.medium.com/hc/en-us,phishing,32,help.medium.com
https://policy.medium.com/medium-terms-of-service-9db0094a1e0f,phishing,62,policy.medium.com
https://policy.medium.com/medium-privacy-policy-f03bf92035c9,phishing,60,policy.medium.com
https://help.medium.com/hc/en-us,phishing,32,help.medium.com
https://medium.statuspage.io,phishing,28,medium.statuspage.io
http://medium.com/about?autoplay=1,defacement,34,medium.com
http://medium.com/jobs-at-medium/work-at-medium-959d1a85284e,benign,60,medium.com
https://blog.medium.com,phishing,23,blog.medium.com
https://policy.medium.com/medium-privacy-policy-f03bf92035c9,phishing,60,policy.medium.com
https://policy.medium.com/medium-terms-of-service-9db0094a1e0f,phishing,62,policy.medium.com
https://speechify.com/medium,phishing,28,speechify.com
http://medium.com/business,defacement,26,medium.com
